"","X","BeerID","Name","StyleID","Beer_Style","Page_Views","Recipe_Type","Rating","Yield","Description","Ingredients","Procedure"
"1731",1731,1731,"Clean Out the Closet",10,"American Pale Ale",3015,"extract","3-0","5 US gallons","Here's the final results of my latest batch. Actually it turned out very good. Nice and dark but no heavy burnt taste. It probably could have used a little more hops, or maybe fresher hops. The alcohol content is rather low and the flavor is excellent, good head too. This beer takes on a decidedly bitter taste when overchilled. Best consumed cool but not cold.","1/4 lb. Munton's Crushed Crystal 2-row Malt 1/4 lb. Roast Barley Crushed 1/2 oz. Willamette Hops Pellets (boiling) 1/2 oz. Northern Brewer Hops Pelletts (finishing) 2 lbs. Laaglander Dark Dried Malt Extract 1 packet Canadian Ale yeast this came with an Ironmaster Canadian Ale Kit 1 packet Irist Stout yeast this came with a Mountmellick Irish Stout Kit 1/2 to 3/4 cup of corn sugar","What I did: Placed Munton's & Roast Barley in grain bag and put in pot with 2 1/2 gallons of cold water. Brought water to a boil. Removed grain bag as soon as water started boiling. Added Willamette Hops and Laaglander DME. Boiled for 1 hour. Added Northern Brewer hops and boiled 5 more minutes. Cooled and added to fermenter. Pitched Canadian Ale yeast, oops forgot to rehydrate it first. Waited 3 days, no activity, yeast must have been too old. Repitched with rehydrated Irish Stout yeast which showed good activity within 8 hours. Fermented until done. Bottled with 1/2 cup corn sugar. Aged 2 weeks"
"1735",1735,1735,"English Pale Ale 2",10,"American Pale Ale",2485,"extract","3-0","5 US gallons","A pretty solid english pale ale with a nice light amber color. The british yeast pairs well with the hops and leaves it slighty sweet and fruity, bitter but not to bitter and a nice EKG nose.","6.6lbs Muntons LME 1/2lb 40lov Crystal 1oz NB 10.6%AA 60min 1tsp Irish Moss 15min 1oz Challenger 6.5%AA 15min 1/2oz EKG 4.5%AA 5min 1/2oz EKG Dryhop British Ale Yeast 1098","Steep grains at 150 for 20 minutes then remove. Add malt extact and bring to a boil then follow the hopping schedule. Cool to 75 and pitch yeast. When fermentation is complete rack to a keg, cool and force carbonate. Let it age in the fridge for a week or two."
"1737",1737,1737,"Perle Pale",10,"American Pale Ale",1801,"all-grain","3-0","5 US gallons","Perle pale was a beautiful light-golden ale, crisp yet full-bodied.","8 pounds, Klages malt 1 pound, flaked barley 1/2 pound, toasted Klages malt 1/2 pound, Cara-pils malt 1-1/2 ounces (12.4 AAUs), Perle hops (boil) 1/2 ounce, Willamette hops (finish) 1 teaspoon, gypsum 1/2 teaspoon, Irish moss 14 grams, Muntona ale yeast","The 1/2 pound of Klages malt was toasted in a 350 degree oven for 10 minutes. The mash was done using Papazian's temperature-controlled method. The Willamette hops are added after the boil, while chilling with an immersion chiller. The yeast is rehydrated in 1/2 cup of 100 degree water."
"1756",1756,1756,"X Beer",10,"American Pale Ale",826,"extract","3-0","5 US gallons","full beer flavour. balanced bitterness and sweetness. 6 per cent alc.","3.3lbs coopers lme 3lbs lite dm 2 oz cascade hops","boil ingredients for one hour. add to fermenter pitch yeast when cool. Ferment for ten days. i used nottingham dry yeast"
"1765",1765,1765,"Groovy Time Pale Ale",10,"American Pale Ale",2858,"extract","3-0","5 US gallons","After a week and a day in the bottle... it's GREAT! Think that the slow warming of the 2 gallons of water with the crystal malt might have produced some unfermentables resulting in my high final gravity, but it's a great beer so who cares!   Alright, that was my turn, let's get some recipe trading going. I'm looking for a Black Dog Pale Ale taste alike in case anyone has replicated that one in particular...",".5 lb 120L Crystal Malt 6.6 lb Home Brewery Light Malt Extract (3.3 hopped, 3.3 unhopped) 1.5 oz Saaz Hops .333 oz. Fuggles Hops .5 oz. Cascades Hops Doric dry ale yeast 3/4 cup corn sugar (priming)","In 2 Gallons of Water I Added the cracked Crystal Malt, heated and removed at 170 deg. f (Approx 30 min) Added the hopped and unhopped extract along with 1 oz. of the Saaz and .333 Fuggles at beginning of boil (boiled for 75 min total) Added .5 oz. Saaz last 10 minutes Added .5 oz. Cascades then cut off the heat. <br/> <br/> Had made a yeast starter of 4 Tbls of brewing sugar in 2 cups of water (boiled) then poured into sanitized grolsh bottle with an airlock on top, when it reached 90 deg. f I pitched (2) 5 gram packs of Doric dry ale yeast, it was bubbling like crazy when I pitched it about 45 minutes after pitching the yeast into the bottle. <br/> <br/> I used Crystal Springs bottled spring water, nasty water in Smyrna Tennessee. <br/> <br/> Primed with 3/4 cup brewing sugar."
"1774",1774,1774,"Too Much Head",10,"American Pale Ale",2837,"all-grain","3-0","5 US gallons","I've been brewing for about 1 1/2 years, all grain for 1 year. For the past 6 months, I've been trying to refine my house pale ale. Started out looking for a SNPA clone, but drifted into more ""floral"" brew (I LOVE Cascades). With my last batch, I'm getting close - with one problem. The head on this brew is TOO THICK. It's somewhere between whipped cream and lemon meringue. Fun to have around to impress homebrew skeptics, but not what I'm looking for. I figure I probably went overboard with the head retention malts. But maybe something is off in my procedure? Here's a rundown of the brew in question.","8 lb 2 row Klages malt 1 lb 20 L Crystal 1/2 lb Cara-pils 1/2 lb Malted Wheat 1/2 oz Perle hops (60 min) 1/2 oz Perle hops (30 min) 1 1/2 oz Cascade hops (30 min) 1 oz Cascade hops (2 min) 1 1/2 oz Cascade hops (dry) RO water with 2 tsp Gypsum/5 gal, 1/2 tsp Epsom salts/5 gal, 1/4 tsp NaCl/5 =","Protein rest 30 min @ 122=B0F<br/> Mash 154=B0F to conversion<br/> Mashout at 175=B0F and sparge at 170=B0F<br/> Boil for 60 min."
"1791",1791,1791,"Six Cooks Ale",10,"American Pale Ale",1783,"extract","3-0","5 US gallons","This is more hoppy than most of the Old Style/Schaefer persuasion seem to prefer. If you think it's too much, cut back.","10 pounds, English pale malt (DME) extract 4 ounces, Cascade hops pellets (boil) 2 ounces, Hallertauer hops pellets (finish) 4 teaspoons, gypsum 2 packs, Edme ale yeast 1-1/2 cups, corn sugar (priming)","This recipe makes 10 gallons. Bring 3 gallons of water to a boil. Add 4 teaspoons of gypsum, four ounces of hops, and 10 pounds of the DME extract. Bring to boil. Boil 45 minutes. Add 2 ounces of Hallertauer hops in last 1 minute of boil. Strain wort into large vessel containing additional 7 gallons of water (we used a 55 gallon trash can). Allow wort to cool and siphon into 5-gallon carboys. Add yeast. Caveat Brewor: Trash cans are generally not food-grade plastic, digest wisdom calls for avoiding non-food-grade plastic. Brewer discretion is advised. -Ed."
"1804",1804,1804,"Old Nuspickle Premium American Ale",10,"American Pale Ale",763,"all-grain","3-0","5 US gallons","This one was a hit with my beer swilling (non-brewing / freeloading) friends. It is a original recipe too. Very aromatic and a slightly sweet and nutty finish. Thank god I wrote down the recipe because after about five of these I forgot my last name.","11 lbs. Rahr 2-row Pale Malt 1.5 lbs. Belgian Aromatic 1 lbs. Flaked Maize 0.5 lbs. Rice-hulls 1 oz. Styrian Goldings 3.6 aa (pellet) @ 60 min. 1 oz. Styrian Goldings 3.6 aa (pellet) @ 30 min. 1 oz. Styrian Goldings 3.6 aa (pellet) @ 10 min. 1 tablespoon, Irish Moss 1 Smack pack of Wyeast American Ale II","Heat mash water to 172* F and dough in. My grain was 50* F so my mash came out to be about 152* F. Mash at 152* F for 90 min.<br/> Make sure you make a starter out of you smack pack at least a day before brew-time."
"1807",1807,1807,"Australian Lite Ale",10,"American Pale Ale",2246,"partial mash","3-0","5 US gallons","Batch size: 5 gallons. Total boil time: 60 minutes. Color: light-to-medium amber. Body: light-to-medium. Hops: moderate and balanced.  This is a balanced, satifying summer-like ale that will appeal to those who enjoy commercial lagers of similar lighter body. The use of honey is optional but does add to mouthfeel and body. Honey will also reduce the very subtle harshness that the pilsen may present. Without honey, the OG will be in the range of 1.034 to 1.038.","5 gals Spring or purified water 3.3 lb Breiss CDW Pilsen LME 1 lb Munton's Light DME 8 oz. Carapils grains, crushed 8 oz. Crystal 10L grains, crushed 1 lb Clover honey 2 oz. Czech Saaz hops pellets 1 Whirlflac tablet 1 White Labs WLP001 California Ale Yeast 5 oz. Priming sugar 1 Nylon grain steeping bag 3 Muslin hops bags, small","1. Sanitize all equipment at every stage of use.<br/> <br/> 2. Fill large pot with 2.5 gallons water. Heat water to 155F and add grains in steeping bag. Maintain temperature and steep for 20 minutes. Remove/drain nylon grain steeping bag.<br/> <br/> 3. Bring water to a moderate boil. Remove briefly from heat and add LME and DME, stirring thoroughly until dissolved. Return to heat and resume boil. Immediately add one muslin hops bag filled/sealed with 3/4 ounce of hops (This is the bittering hops stage). Maintain boil for 45 minutes, stirring regularly. NEVER LEAVE YOUR POT UNATTENDED as it may boil over.<br/> <br/> 4. At 45 minutes of boiling, remove pot briefly from heat and add one crushed Whirlflac tablet and honey, stirring thoroughly until dissolved. Return to heat and continue boil, stirring regularly.<br/> <br/> 5. At 55 minutes, add a second muslin hops bag filled/sealed with 3/4 ounce of hops (this is the aroma hops stage). Return to heat and resume boil, stirring regularly..<br/> <br/> 6. At 60 minutes, remove the large pot from heat and place in sink filled with iced water, cold water or use a wort cooler. Do not stir the wort during the cooling stage. Fill your primary fermentor with 2.5 gallons of room temperature water. When the mixture (wort) reaches about 80F, remove pot from sink and pour contents into your primary fermentor. (Optional: pour your wort slowly through sanitized stainer into the fermentor if you have a strainer). Fermentor should be filled to about 5 gallons now.<br/> <br/> 7. Take an OG reading with a sanitized hydrometer, should you own one. Record this value.<br/> <br/> 8. Oxygen must now be infused into the wort prior to yeast addition. Stir wort vigorously for up to five minutes with large sanitized spoon or stirring paddle. You may also pour wort back-and-forth between two seperate sanitized buckets.<br/> <br/> 9. Add room-temperature yeast to wort once the wort temperature has reached 72F to 75F. Stir yeast thoroughly into wort. Now place a lid on your primary fermentor (with fermentation lock filled and secured into lid)<br/> <br/> 10. Place fermentor in a dark room or area, where it's temperature can maintain a consistent 68F to 73F. Primary fermantation should begin within 18 to 36 hours of yeast introduction. Primary ferment will last between 5 to 7 days.<br/> <br/> 11. At between 5 to 7 days of primary fermentation, the wort may be transferred into a sanitized secondary fermentor. Be careful to avoid transferring trub (sediment) from the primary into the secondary. <br/> <br/> 12. Bottling: bring one cup of water to a moderate boil in a medium pot. Add 5 ounces of priming sugar and stir regularly. Remove from heat. Transfer your wort into a sanitized bottling bucket, avoiding any trub. Gently stir your priming sugar water thoroughly into the wort and begin filling your sanitized bottles to within an inch of their tops. Cap with oxygen barrier beer bottle caps and place in dark room/area at roughly 70F.<br/> <br/> 13. Conditioning: allow beer to carbonate for at least two weeks in bottles. This brew should be drinkabl after two weeks, though it will improve noteably if allowed to condition for one to two months. This ale is best if consumed within one year's time."
"1816",1816,1816,"Little Creatures Bright Ale clone",10,"American Pale Ale",3165,"all-grain","3-0","5 US gallons","This is a very close clone to LCBA, Easy drinking, very good session beer. My house favourite.","3.5kg Premium or Pale pilsener malt 1kg Vienna 300g Carapils 300g wheat malt Cascade 20g - 60min Saaz B 20g - 60min Cascade 30g - 15min Saaz B 30g -15min Wyeast 1056 or Safale US-05. 20L batch.","Mashed at 65deg for 60min.<br/> Boiled 60 mins.<br/> Koppafloc added 5 min before flame out, with Yeast nutrient."
"1818",1818,1818,"Number 23",10,"American Pale Ale",2720,"extract","3-0","5 US gallons","This a report on my second use of ""maltose"" (a cheap rice malt available from most Oriental Markets). In the previous attempt (""Number 17"", see HBD #541 or The Cat's Meow: p 36) there were a few problems. It was also my first attempt at culturing yeast (from a Sierra Nevada Pale Ale), and for various reasons, it didn't work very well. The other problem was I used to much maltose, about 40%, which made the result a little too light. This time I decided to use about 20% maltose, which IMHO, is just about right. I've also since perfected yeast culturing. The result is a nice thirst quenching, summer ale, which, with my favorite pizza, is heaven*2. Taste: Excellent!","4 pounds, plain light malt extract syrup 1.1 pounds, (750 grams) Maltose 2/3 ounce, Chinook Hops, flower, (boil) 1/3 ounce, Cascade Hops, flower, (finish) 1/2 ounce, Cascade Hops, pellets, (dry hopped in secondary) Ale Yeast, cultured from Sierra Nevada Pale Ale, Corn sugar (3/4 cup) at bottling","About a week before, make a starter from 2 bottles of Sierra Nevada Pale Ale. Use about 4 tablespoons of plain light malt extract syrup and a couple of hop pellets. Boil major ingredients, ala Complete Joy of Home Brewing, in 2 gallons of water. (60 minute boil). Add 1/3 ounce Chinook hops at start of boil, 1/3 ounce Chinnook at 30 minutes and 1/3 ounce of Cascade hops in the last two minutes of the boil. Then combine with 3 gallons of ice cold tap water (which was boiled the previous night, and cooled in the freezer) in a 7 gallon carboy. Ferment in primary for a week. Put 1/2 ounce of Cascade pellets in bottom of secondary and rack beer into secondary. Bottle three weeks later."
"1834",1834,1834,"Matty's Fall Run Pale Ale",10,"American Pale Ale",1222,"extract","3-0","5 US gallons","This is a prety basic extract Pale Ale recipe that yields 5 gallons. I played around with some hops variations and freshly picked Cascade hops from the garden one day and voila....a delicious, easy drinking brew!","6.6 pounds of light LME 1 oz of Amarillo Hops pellets 3/4 oz of Mt Hood Hops pellets 1/2 oz of fresh Cascade Hops 1 pack of Safale S-05 yeast","Boil LME and Amarillo hops with 1.5 gallons of water for 50 min. Add Mt. Hood and boil for 10 more minutes. Turn off heat. Add Cascade at flame out. <br/> Strain wort, add to 3 gallons of cold water. Wait until water is >80 degrees and pitch yeast. Give it a stir in 10 minutes and wait patiently for 7 days to bottle."
"1844",1844,1844,"Pirate Ale",10,"American Pale Ale",2704,"all-grain","3-0","5 US gallons",NA,"8 # British 2-row .5 #British crystal malt .5 # Wheat Malt .5 # Golden Brown sugar .75 oz Willamette (60 mins) .50 oz East Kent Goldings (EKG) (60) ----I had to use up some hops 1 oz EKG leaf hops (60) 1 oz EKG leaf hops (30) 1 oz EKG leaf hops (5) Irish Moss Wyeat #1098 (British Ale) started two days before in a starter",NA
"1846",1846,1846,"Killer Party Ale",10,"American Pale Ale",3124,"extract","3-0","5 US gallons","This recipe comes from Craig McTyre at Wine & Brew By You. The Lyle's syrup is available in many grocery stores, usually located near the pancake syrup. BrewMagic is some sort of yeast nutrient/additive. It is available from Wine & Brew By You.","2 cans, Pilsner/Lager or American light malt 15 cups, corn sugar 2 jars, Lyle's golden syrup (22 oz.) 2-1/2 ounces, Hallertauer hops 2 pounds, flaked maize 1 pack, BrewMagic yeast","In 1 gallon water, boil malt, golden syrup, sugar and 1-1/2 ounce hops for 8 minutes. Add remaining hops and boil another 2 minutes. Pour into primary fermenter with 2 gallons water. Bring another gallon of water to a boil and add flaked maize. Turn off heat and 1/3 pack of BrewMagic. Let sit 10 minutes. Add another 1/3 pack of BrewMagic. Let sit 10 more minutes. Strain maize into primary fermenter, and rinse with cold water. Discard maize. Fill primary to 5 gallon mark."
"1847",1847,1847,"Potluck Ale",10,"American Pale Ale",3296,"partial mash","3-0","5 US gallons","A couple of weeks batch I started making a batch of beer without taking inventory first. Well, to make a long story short, the beer was pretty good. Kinda smooth, without the stronger tastes I prefer, but a crowd pleaser. Here's the recipe.","4.5 lbs Klages 1.25 lbs 60lv Crystal Malt 5.25 lbs Rice 1.5 lbs LME (all of my starter wort) 1 lb clover honey 2nd generation American Ale Yeast 1 Tbs Gypsum 1/2 tps Irish Moss 3 oz Saaz (Only had finishing hops)","I ground up the klages and rice in my grainmill. Used Gypsum in my mash water. Mashed according to standard procedures. Boiled until hot break finished. 1hr Added the 1.5 lbs of LME (would have rather used grain, but this is potluck). Added 1oz Saaz (Why not, mild hop's taste). Put Irish Moss in hot tap water. 30 minutes Added 1oz Saaz 15 minutes Added Irish Moss Added Honey 5 minutes Added 1 oz Saaz Let cool in sink (with hops in wort) for about 45 minutes ~90F Poured in carboy with 2nd generation American Ale yeast. Fermented two weeks, Racked, in new carboy Let sit two weeks, then bottled with standard 3/4's cup corn sugar (boiled in water)."
"1866",1866,1866,"Pete's Wicked Clone",10,"American Pale Ale",3022,"all-grain","3-0","5 US gallons","I've requested a recipe for Pete's Wicked Ale, but nobody sent one, so I guess I'm going to have to wing it. This recipe is based on the GABF program, which says "" Pete's has: pale, crystal and chocolate malts, and Chinook and Cascade hops. OG: 14P"" (Isn't that 1.056?)   Pete's is pretty malty with a low hop bitterness and aroma. I think the malt combination should be ok, as long as I get enough body from the 155F mash temperature.","8-9 pounds, pale malt 1 pound, crystal malt 1/4 pound, chocolate malt mash at 155F 1/2 ounce, Cascade (60 min boil) 1/4 ounce, Chinook (60 min boil) 1/2 ounce, Cascade (10 min finish) Wyeast #1056","Mash malts at 155 F. Add 1/2 ounce Cascade and 1/4 ounce of Chinook for boil. Use 1/2 ounce Cascade to finish."
"1881",1881,1881,"Hot Weather Ale",10,"American Pale Ale",5202,"partial mash","3-0","5 US gallons","This turned out refreshing, light in body and taste, with a beautiful head (I used 1 cup corn sugar in priming).","3 pounds, pale malted barley 3 pounds, Blue Ribbon malt extract 2 ounces, Willamette hops 1/2 ounce, Kent Goldings hops 1 pack, Red Star ale yeast 1 cup, corn sugar (priming)","Mash the 3 pounds of plain malted barley using the temperature-step process for partial grain recipes described in Papazian's book. Boil 30 minutes, then add the Blue Ribbon extract (the cheap stuff you get at the grocery store) Add Willamette hops and boil another 30 minutes. Add Kent Goldings in last 5 minutes. When at room temperature, pitch yeast. Ferment at about 68 degrees using a 2-stage process."
"1883",1883,1883,"Full Sail Ale",10,"American Pale Ale",5736,"extract","3-0","5 US gallons","About four years ago I ordered a bottle of Full Sail Ale while having lunch in Portland, Oregon. Full Sail was the most expensive beer on the menu, and I figured that at $2.75 a bottle I didn't have much to lose. Several others who were with me did the same, and were pleasantly surprized---Full Sail offers a reasonably complex (a hint of sweetness along with medium strong hops and a rich malty flavor) taste and aroma in a medium-bodied ale.   Since I first tasted this ale, I had to rely on others making trips to the Northwest to bring back six packs of this ale. A few months ago, I visited the Hood River Brewing Company in Hood River, Oregon. I was able to get enough information to experiment with a homebrew recipe for Full Sail Ale. My first experiment turned out remarkably similar to the real thing in body, aroma, and flavor.","7 pounds, Australian Light Malt Syrup 3/4 pound, Light Crystal Malt 2--1/4 ounce, Nugget Hops (1--3/4 ounce for boiling, 1/2 ounce","Crack and steep crystal malt at 155 - 170 F for about 45 minutes in 1/2 gallon of water. Add extract, gypsum, dextrin and 2 gallons of water. Bring to boil, then add 1 3/4 oz. hops. Boil for 45 minutes, then add 1/2 oz. hops at the end of the boil for 15 minutes."
"1888",1888,1888,"Taken Liberties Ale",10,"American Pale Ale",7566,"extract","3-0","5 US gallons","This recipe is an extract version of Rick Larson's ""Taking Liberty Ale"" (see page 1-35).   Two weeks after priming, I did a side-by-side with a bottle of Liberty Ale. The beers were of a similar clarity and hue, although Liberty Ale is slightly lighter in color. Liberty is also more aggressively carbonated, but the heads are similar. Liberty Ale is slightly more bitter, but, paradoxically, it also has a slightly maltier taste. (Incidentally, my Anchor Steam clone has the same difference in malt taste. I use M&F for it, too.) The Cascade aroma of the two beers is similar, but Liberty Ale has a more pronounced Cascade flavor, and definitely a more pronounced Cascade aftertaste. My beer is smoother and has more body. The brews are similar enough that if you served mine to someone who was expecting Liberty Ale, they probably would not be able to tell the difference, although a side-by-side comparison would reveal the imposter. Next time, I'm going to decrease the lovibond of the crystal a little bit (to get a lighter color), and also use a little more Cascades for finishing and dry hopping (say on the order of a quarter ounce).","1/2 pound, crystal malt (60L) 1 cup, English 2--row pale malt 7 pounds, light Munton & Fison dry malt extract 1/2 ounce, Galena pellets (12% alpha), 60 minute boil 1/2 ounce, Irish moss, 15 minute boil 1 ounce, Cascade pellets (5.5% alpha), 12 minute boil Wyeast American ale #1056 1 ounce, Cascade pellets, dry hop 1/2 cup, corn sugar (priming)","Cracked grains and steeped in 2 (U.S.) quarts 150-155F water for 45 minutes. Collected runoff and sparged with an additional 1--1/2 gallons 170F water. Added to brew kettle with enough additional water to make 5- -1/2 gallons. Dissolved extract and boiled 65 minutes, adding hops and Irish Moss as shown. Chilled with an immersion chiller down to 70F. Racked off break and pitched onto dregs of the secondary of a previous batch, a la Father Barleywine. Active fermentation in under 12 hours. O.G. = 1.056; IBU = approximately 33 (not counting the dry hopping which would have added a point or two). Single-stage blowoff fermentation in the low 70's. Primary was 4 days, after which I attached a fermentation lock and dumped in the dry-hopping hops. After another 19 days of secondary, I racked to a Cornelius keg primed with 1/2 cup of corn sugar. After waiting a week or so, I tapped, keeping 20 psi on the keg at all other times."
"1898",1898,1898,"TGIF Pale Ale",10,"American Pale Ale",2137,"extract","3-0","5 US gallons","This is a great lawn mower beer!","6 lbs Light Dry Malt Extract 1 lb Crystal Malt 40L 1/2 oz Northern Brewer Hops 60 min. (pellets) 1/2 oz Northern Brewer Hops 30 min. (pellets) 1/2 oz Cascade Hops 10 min. (plug or whole) 1/2 oz Cascade Hops dry (plug or whole) 1 tsp Irsh Moss 30 min. 1 pkg Whitbread dry yeast","Steep crushed grain for 60 min. @ 152F, remove add DME boil 60 min."
"1899",1899,1899,"Pale Ale 8",10,"American Pale Ale",3964,"extract","3-0","5 US gallons","I finally, after a 3 month absence, got to brew a batch of beer on Saturday. Usually, I use liquid yeast, following the manufacturer's instructions & popped the yeast the day before. Unfortunately, that was Thursday, being as that I thought I would get to brew on Friday. Well, I thought that this was the perfect opportunity to do a proper starter. So, following my local homebrew shop propietor's suggestions, I boiled up a pint of H2O with a couple of tablespoons of priming malt in the microwave, put a clean lid on it, & after it cooled, I added the already puffed up package of WYeast British Ale (sorry, don't recall the number). This foamed up nicely, & I pitched it in the wort on the actual brewing day, Saturday.   It's supposed to be a pale ale. Anyway, the problem is that it started to ferment rather nicely, but the head never got more than 3/4 of an inch thick. The fermentation has been very active (it slowed down on Monday night some), & the yeast on top looks healthy, but it's just not thick. I did use a filter on the funnel when I put the wort into the carboy, & I had to top it off with about a gallon of preboiled water. I'm not worried about it, but I am curious as to what's going on. Usually I get this head that's 2 inches thick & looks alive. The temp has been sitting at 68, BTW.   A couple of observations unrelated to the above: Sam Adams Triple Bock tastes good on vanilla ice cream.  Baptists don't believe in drinking because most of them drink real cheap beer.","3/4# American Crystal malt 1/2# Aromatic grains 7# Alexander's pale malt extract 1/2# malto-dextrin 1/4# turbinado 2 tbsp Irish moss hops galore (pellets) the yeast","0"
"1926",1926,1926,"Lageresque Ale",10,"American Pale Ale",1654,"extract","3-0","5 US gallons","Ferment as cool as you can muster, to keep the esters down. If you can, rack the wort off the trub before the fermentation really gets started (i.e. let it settle out for 4-6 hours, then rack, but pitch the yeast *first* to avoid nasty suprises). Use an ale yeast that is clean (i.e. produces few esters). Reportedly, Wyeast #1056 (American Ale) is supposed to be the best yeast in this regard. You can also culture this strain (or one with a *very* similar flavour profile) from Sierra Nevada ales. Boil the full volume of your wort. The more dilute wort gives better hop utilization, and helps avoid carmelization of the wort. After bottling or kegging and subsequent carbonation, let the brew lager in the refrigerator for 4-6 weeks.","4 pounds, Alexanders light unhopped malt extract 1-1/2 pounds, Light dried malt extract (DME) 5 AAU's of your favourite bittering hops (e.g., 1/2 ounce. of","Dissolve the extracts in 5 gallons of brewing water. Bring to boil. After 15 minutes, add bittering hops. Boil 60 minutes total. Turn off heat and add finishing hops. Cool as rapidly as possible to 60-70F. Rack to fermenter, fill to 5 gallons, pitch yeast, relax, etc."
"1955",1955,1955,"Australian Sparkling Ale",10,"American Pale Ale",8938,"all-grain","3-0","5 US gallons","A lil cloudy tho has great head retention with a slight sparkle to it.","4kg of light malt 500g of crystal malt 500g of white sugar 28g of pride of ringwood hop pellets [full boil] 14g of pride of ringwood hop pelllets [last 10 minutes of boil for Flavour] 1 wirlfloc tablet [or 1 tsp of irish moss powder] 15g of ale yeast","Add the crushed grain to 10 litres of water at about 60 degrees C, mix <br/> well and hold temperature for 30 minutes. Now raise the temperature to <br/> 68 degrees C and hold for a further 45 minutes to an hour if you please. Sparge with 3 to 4 litres of boiling water to get anything that can be saved and then bring to a boil. Now add the boiling hops and boil for an hour. In the last 15 minutes add the wirlfloc tablet and the last 10 minutes add the flavouring hops. Strain into your fermenter and cool the wort down. Fill with water to the 20 litre mark and pitch the yeast at about 28 degrees C."
"1970",1970,1970,"Lady Liberty Pale Ale",10,"American Pale Ale",1247,"all-grain","3-0","5 US gallons","One of my favorite recipies. Not overly hoppy like some APAs. The use of Cascade hops provides a pleasant citrus taste. My wife even enjoys this one and she's not much of a hoppy beer drinker.  Hoppiness: 38.1 IBUs  Color: 7.2 (SRM) Estimated Alcohol: 5.2%","10 lbs Domestic 2 Row 1 lb Caramel 20L 8 oz Victory Malt 1 oz Cascade Hops (6.8% AAU) - 60 min 1/2 oz Cascade Hops (6.8% AAU) - 30 min 1/2 oz Cascade Hops (6.8% AAU) - 15 min 1 oz Cascade Hops (6.8% AAU) - 2 min Yeast - Wyeast American Ale #1056","Mash Schedule: Single Infusion / Batch Sparge<br/> <br/> Heat 4.5 gal water @ 162.5F to get a mash temp of 152.0. Mash for one hour and drain. Heat 4.0 gal water @ 180.5F to get a sparge temp of 165.2F. Mash for 15 min and drain. Should have approx 6.5 gal of wort for boil. Heat wort to boiling. Add first hop addition (1 oz Cascade) at first sign of boiling (T60). Thirty minutes into boil (T30), add second hop addition (1/2 oz Cascade). Forty-five minutes into boil (T15), add third hop addition (1/2 oz Cascade). I also add 1 tsp Irish Moss (hydrated) to help with protein break and clarify the beer. With 2 minutes remaining (T2), add the final hop addition (1 oz Cascade). Cool to pitching temp, place in carboy and add yeast."
"1985",1985,1985,"J's LM Pale Ale",10,"American Pale Ale",3711,"all-grain","3-0","11 US gallons","0","19 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs - Caramel Malt - 60L (Briess) (60.0 SRM) (Grain) 12.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 1.2 oz - Cascade [5.5%] - Boil 60 min (Hops) 0.5 oz - Amarillo Gold [8.5%] - Boil 10 min (Hops) 0.5 oz - Cascade [5.5%] - Boil 10 min (Hops) 0.5 oz - Columbus (Tomahawk) [14.0%] - Boil 10 min (Hops) 1.5 oz - Amarillo Gold [8.5%] - Boil 5 min (Hops) 1.5 oz - Cascade [5.5%] - Boil 5 min (Hops) 1.5 oz - Columbus (Tomahawk) [14.0%] - Boil 5 min (Hops) 1.0 oz - Amarillo Gold [8.5%] - Boil 0 min (Hops) 1.0 oz - Cascade [5.5%] - Boil 0 min (Hops) 1.0 oz - Columbus (Tomahawk) [14.0%] - Boil 0 min (Hops) 2 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0"
"1990",1990,1990,"Galascade American Pale Ale with Mash Out",10,"American Pale Ale",2686,"all-grain","3-0","6 US gallons","0","9 lbs 3.2 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 4.0 oz - Aromatic Malt (26.0 SRM) (Grain) 1.0 oz - Cascade [6.0%] - First Wort (Hops) 0.1 oz - Magnum [14.0%] - Boil 60 min (Hops) 1.0 oz - Galaxy [14.0%] - Boil 10 min (Hops) 1.0 oz - Galaxy [14.0%] - Boil 0 min (Hops) 1.0 oz - Cascade [6.0%] - Dry Hop 7 days (Hops) 1.0 oz - Galaxy [14.0%] - Dry Hop 7 days (Hops)","0"
"1992",1992,1992,"South Pacific Pale Ale",10,"American Pale Ale",2084,"all-grain","3-0","6.6 US gallons","0","9 lbs 8.9 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 13.5 oz - Munich Malt (9.0 SRM) (Grain) 13.5 oz - Wheat, Torrified (1.7 SRM) (Grain) 0.7 oz - Nelson Sauvin [12.0%] - Boil 60 min (Hops) 0.7 oz - Nelson Sauvin [12.0%] - Boil 30 min (Hops) 2.50 g - Protafloc (Boil 15 min) (Misc) 2.1 oz - Nelson Sauvin [12.0%] - Steep 0 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0"
